movieid,writerid,addition,additions
1899769,248099,"(screenplay)  <2,2,2>",screenplay
1899769,403218,"(screenplay)  <2,3,1>",screenplay
1899769,403218,"(story)  <1,1,1>",story
1899880,317267,,
1900069,349825,(writer),writer
1900319,39533,"(screenplay ""Louis 19, le roi des ondes"")  <1,1,2>",screenplay
1900319,124055,"(screenplay)  <2,1,1>",screenplay
1900319,126372,"(screenplay ""Louis 19, le roi des ondes"")  <1,1,1>",screenplay
1900319,226600,"(screenplay)  <2,1,2>",screenplay
1900465,49535,"(story)  <1,1,1>",story
1900465,363693,"(screenplay)  <2,1,1>",screenplay
1900465,363693,"(story)  <1,1,2>",story
1901554,82790,,
1903954,212482,"(screenplay)  <1,1,1>",screenplay
1903954,224581,"(novel ""Zuqâq al-Midaq"") (as Naguib Mahfuz)  <2,1,1>",novel
1904083,112800,(writer),writer
1904083,132586,(writer),writer
1904083,158657,(writer),writer
1904083,254316,(play),play
1904548,124235,(writer),writer
1904548,295238,(novel),novel
1904548,374220,(writer),writer
1904704,122326,"(screenplay)  <2,2,1>",screenplay
1904704,232135,"(libretto) (as Martinez Sierra)  <1,1,1>",libretto
1904704,323696,"(screenplay)  <2,1,1>",screenplay
1906242,141651,(as Jorge Guerricaechevarria),
1906242,167234,(as Alex de la Iglesia),
1907821,309740,"(written by)  <1,1,1>",written by
1910848,280997,"(screenplay)  <2,1,1>",screenplay
1910848,283908,"(novel)  <1,1,1>",novel
1910848,360585,"(screenplay)  <2,1,2>",screenplay
1911817,158504,"(written by)  <1,1,1>",written by
1912439,46447,,
1912439,258036,,
1912439,374560,,
1913354,16085,"(novel)  <1,1,1>",novel
1913354,238227,"(screenplay)  <2,1,1>",screenplay
1913703,153233,"(written by)  <1,1,1>",written by
1914108,233153,,
1914192,252324,(writer),writer
1914192,292883,(book),book
1914192,293227,(writer),writer
1915247,22105,"<2,1,1>",
1915247,382141,"(novel)  <1,1,1>",novel
1915291,325398,"(screenplay)  <2,1,1>",screenplay
1915291,325398,"(story)  <1,1,2>",story
1915291,403606,"(story)  <1,1,1>",story
1915498,229729,"(written by)  <1,1,1>",written by
1915987,228440,"(written by)  <1,1,1>",written by
1916996,389824,"(written by)  <1,1,1>",written by
1917129,23856,"(screenplay) (as Ron Bass)  <2,1,1>",screenplay
1917129,23856,"(story) (as Ron Bass)  <1,1,1>",story
1917129,46111,"(screenplay) (as William Broyles)  <2,2,1>",screenplay
1917129,156190,"(story)  <1,2,1>",story
1918307,62943,"(story)  <1,2,2>",story
1918307,138378,"(screenplay)  <2,2,1>",screenplay
1918307,138378,"(story)  <1,2,1>",story
1918307,294846,"(screenplay)  <2,1,1>",screenplay
1918307,294846,"(story)  <1,1,1>",story
1918312,220917,,
1918615,137279,"(written by)  <1,1,1>",written by
1919846,55876,"(characters)  <1,1,1>",characters
1919846,55876,"(written by)  <2,1,1>",written by
1919846,58223,"(characters)  <1,2,1>",characters
1919846,157472,"(written by)  <2,1,2>",written by
1919846,316258,"(written by)  <2,1,3>",written by
1919853,55876,"(written by)  <1,1,1>",written by
1919853,58223,"(written by)  <1,2,1>",written by
1919898,39740,"(characters creator)  <2,1,1>",characters creator
1919898,86814,"(written by)  <1,1,1>",written by
1919947,187221,"(based on the book by)  <2,1,1>",based on the book by
1919947,402422,"(screenplay) (as Robert Malcolm Young)  <1,1,1>",screenplay
1920973,36400,"<1,2,1>",
1920973,125065,"<1,3,1>",
1920973,166951,"(as Roustam Ibraguimbekov)  <1,1,1>",
1920973,386559,"<1,4,1>",
1921463,221458,"(as R. Lévy)  <1,2,1>",
1921463,373966,"(as R. Vadim)  <1,1,1>",
1922080,6907,"(book ""Under the Domim Tree"")  <1,1,1>",book
1922080,6907,"(screenwriter)  <2,1,1>",screenwriter
1922080,68648,,
1922080,334566,"(screenwriter)  <2,1,2>",screenwriter
1922571,164419,(screenplay),screenplay
1922571,164419,(story),story
1922571,191019,(screenplay),screenplay
1923001,209673,"(written by)  <1,1,1>",written by
1923072,307614,"(novel)  <1,1,1>",novel
1923072,376120,"(screenplay)  <2,1,1>",screenplay
1923165,101944,"(written by)  <1,1,1>",written by
1923244,137279,"(screenplay)  <1,1,1>",screenplay
1923244,278763,"(screenplay)  <1,2,2>",screenplay
1923244,283748,(1729 story) (uncredited), story
1923244,361634,"(screenplay)  <1,2,1>",screenplay
1923287,51568,"(written by)  <1,1,1>",written by
1923287,178357,"(written by)  <1,1,2>",written by
1923531,240193,(story and screenplay),story and screenplay
1923531,340533,(screenplay),screenplay
1923821,6683,"(written by)  <1,1,1>",written by
1923955,289814,,
1923981,6683,"(written for the screen by)  <2,1,1>",written for the screen by
1923981,303450,"(from the book ""Everything You Always Wanted to Know About Sex * But Were Afraid to Ask"" by) (as Dr. David Reuben)  <1,1,1>",
1924384,278384,"(screenplay)  <2,1,1>",screenplay
1924384,304728,"(book of the musical play ""Evita"")  <1,1,1>",book of the musical play
1924384,351632,"(screenplay)  <2,2,1>",screenplay
1924700,38180,"(screenplay)  <3,2,1>",screenplay
1924700,226171,"(book ""Le Morte d'Arthur"")  <1,1,1>",book
1924700,276185,"(adaptation)  <2,1,1>",adaptation
1924700,276185,"(screenplay)  <3,1,1>",screenplay
1924755,1892,"(screenplay)  <2,1,1>",screenplay
1924755,1892,"(story)  <1,1,1>",story
1924755,67370,"(screenplay)  <2,2,1>",screenplay
1924755,200376,"(screenplay)  <2,2,2>",screenplay
1924959,363280,"(written by)  <1,1,1>",written by
1924959,363287,"(written by)  <1,1,2>",written by
1925337,8248,"(screenplay)  <2,1,1>",screenplay
1925337,46549,"(screenplay)  <2,2,1>",screenplay
1925337,304638,"(novel ""Exit To Eden"")  <1,1,1>",novel
1925449,38180,(uncredited),uncredited
1925449,134528,"(written by)  <1,1,1>",written by
1925449,276185,(uncredited),uncredited
1925477,101447,,
1925610,307897,,
1925610,312702,,
1926507,130439,"(screenplay)  <2,1,1>",screenplay
1926507,276387,"(book)  <1,1,1>",book
1926668,233325,"(play)  <2,1,1>",play
1926668,233325,"(screenplay)  <1,1,1>",screenplay
1926854,160996,"(novel)  <1,1,1>",novel
1926854,171169,"(screenplay)  <2,1,2>",screenplay
1926854,337635,"(screenplay)  <2,1,1>",screenplay
1926866,26642,"(novel)  <1,1,1>",novel
1926866,103032,"(screenplay)  <2,1,1>",screenplay
1927003,198001,"(screenplay)  <1,1,1>",screenplay
1927003,299337,"(screenplay)  <1,2,1>",screenplay
1927003,326840,"(novella ""Traumnovelle"") (inspiration)  <2,1,1>",novella
1927004,123376,(written by),written by
1927004,161329,(written by),written by
1927021,23063,(uncredited),uncredited
1927021,55876,"(screenplay)  <1,1,1>",screenplay
1927021,55876,"(story)  <2,1,1>",story
1927021,76548,(uncredited),uncredited
1927021,134599,"(screenplay)  <1,2,1>",screenplay
1927021,177254,(monologue writer) (uncredited),monologue writer
1927021,362295,(uncredited),uncredited
1927338,114529,"(written by)  <1,1,2>",written by
1927338,240858,"(written by)  <1,1,1>",written by
1927339,70687,"(written by)  <2,1,1>",written by
1927339,114529,"(characters)  <1,1,2>",characters
1927339,240858,"(characters)  <1,1,1>",characters
1927950,69615,"(written by)  <1,1,2>",written by
1927950,390230,"(written by)  <1,1,1>",written by
1928004,235318,(as Hy Mayer),
1928609,114762,"(screenplay)  <2,1,1>",screenplay
1928609,135590,"(novel)  <1,1,1>",novel
1928755,14450,"(story)  <1,1,1>",story
1928755,71443,"(screenplay)  <2,1,1>",screenplay
1928755,71443,"(story)  <1,2,1>",story
1928755,239467,"(story)  <1,1,2>",story
1928940,276473,"(play)  <1,1,1>",play
1928940,276473,"(screenplay)  <2,1,1>",screenplay
1929151,324844,,
1929205,5170,"<1,1,1>",
1929205,340049,"<1,1,2>",
1929262,184223,"(written by)  <1,1,1>",written by
1929431,341797,"(written by)  <1,1,1>",written by
1929514,6267,"(screenplay)  <1,1,2>",screenplay
1929514,280466,"(story)  <2,1,2>",story
1929514,280531,"(screenplay)  <1,1,1>",screenplay
1929514,280531,"(story)  <2,1,1>",story
1929514,401811,"(screenplay)  <1,1,3>",screenplay
1930227,53841,"(novel ""The Rainbird Pattern"")  <2,1,1>",novel
1930227,208894,"(screenplay)  <1,1,1>",screenplay
1930572,303976,"(written by)  <1,1,1>",written by
1930730,29769,"(written by)  <1,1,1>",written by
1930793,34454,"(story development) (segment ""Toccata and Fugue in D Minor"")  <2,1,1>",story development
1930793,91664,"(story development) (segment ""Night on Bald Mountain/Ave Maria"")  <7,1,3>",story development
1930793,91664,"(story development) (segment ""Toccata and Fugue in D Minor"")  <2,1,3>",story development
1930793,104239,"(story development) (segment ""The Pastoral Symphony"")  <6,1,1>",story development
1930793,108097,"(story development) (segment ""The Sorcerer's Apprentice"")  <4,1,2>",story development
1930793,137137,"(story development) (segment ""Night on Bald Mountain/Ave Maria"")  <7,1,1>",story development
1930793,137193,"(story direction)  <1,1,1>",story direction
1930793,152614,"(story development) (segment ""The Nutcracker Suite"")  <3,1,3>",story development
1930793,153152,"(story development) (segment ""The Nutcracker Suite"")  <3,1,5>",story development
1930793,153361,"(story development) (segment ""Night on Bald Mountain/Ave Maria"")  <7,1,2>",story development
1930793,164137,"(story direction)  <1,1,2>",story direction
1930793,225118,"(story development) (segment ""The Nutcracker Suite"")  <3,1,4>",story development
1930793,231317,"(story development and research) (segment ""Rite of Spring"")  <5,1,1>",story development and research
1930793,239354,"(story development and research) (segment ""Rite of Spring"") (as John Fraser McLeish)  <5,1,4>",story development and research
1930793,248821,"(story development) (segment ""The Nutcracker Suite"")  <3,1,1>",story development
1930793,281306,"(story development) (segment ""The Sorcerer's Apprentice"")  <4,1,1>",story development
1930793,281909,"(story development) (segment ""The Pastoral Symphony"") (as Bill Peed)  <6,1,5>",story development
1930793,282661,"(story development) (segment ""The Pastoral Symphony"")  <6,1,3>",story development
1930793,289103,"(story development) (segment ""Toccata and Fugue in D Minor"")  <2,1,2>",story development
1930793,317819,"(story development) (segment ""The Pastoral Symphony"")  <6,1,4>",story development
1930793,342765,"(story development) (segment ""The Pastoral Symphony"")  <6,1,2>",story development
1930793,347668,"(story development) (segment ""The Pastoral Symphony"") (as George Stallings)  <6,1,6>",story development
1930793,350145,"(story development and research) (segment ""Rite of Spring"")  <5,1,3>",story development and research
1930793,362843,"(story development and research) (segment ""Rite of Spring"")  <5,1,2>",story development and research
1930793,398797,"(story development) (segment ""The Nutcracker Suite"")  <3,1,2>",story development
1930810,9037,"(story ""The Steadfast Tin Soldier"") (segment ""Piano Concerto #2"")  <2,1,1>",story
1930810,43973,"(story) (segment ""Firebird Suite, The"")  <5,1,1>",story
1930810,43975,"(story) (segment ""Firebird Suite, The"")  <5,2,1>",story
1930810,61302,(story),story
1930810,96349,"(concept for ""Death & Re-birth of the Forest"")",concept for
1930810,108097,"(story development) (segment ""Sorcerer's Apprentice, The"")  <4,1,2>",story development
1930810,132719,"(story) (segments ""Rhapsody in Blue"" and ""Carnival of the Animals, The"")  <1,1,1>",story
1930810,137193,"(original concept) (segment ""Carnival of the Animals, The"")  <3,1,1>",original concept
1930810,240395,(host sequences),host sequences
1930810,281306,"(story development) (segment ""Sorcerer's Apprentice, The"")  <4,1,1>",story development
1930810,303934,(host sequences),host sequences
1930942,33838,"(story) (as Jay Lewis Bixby)  <3,2,1>",story
1930942,97844,"(adaptation)  <2,1,1>",adaptation
1930942,191440,"(screenplay)  <1,1,1>",screenplay
1930942,191513,"(story)  <3,1,1>",story
1931213,93587,"(screenplay)  <2,1,1>",screenplay
1931213,93587,"(story)  <1,1,1>",story
1931213,163030,"(story)  <1,1,2>",story
1931235,38912,"(written by)  <1,1,1>",written by
1931489,68346,"(written by)  <1,1,1>",written by
1931489,68351,"(written by)  <1,1,2>",written by
1931497,25656,"(adaptation)  <2,1,1>",adaptation
1931497,72524,"(adaptation)  <2,1,2>",adaptation
1931497,72524,"(dialogue)  <3,1,1>",dialogue
1931497,72524,"(original scenario)  <1,1,1>",original scenario
1931497,72525,"(adaptation)  <2,1,3>",adaptation
1931497,72525,"(original scenario)  <1,1,2>",original scenario
1931607,330433,,
1932160,76496,"(book)  <2,1,1>",book
1932160,76496,"(screenplay)  <1,1,1>",screenplay
1932235,243838,"(original story)  <2,1,1>",original story
1932235,252155,"(screenplay)  <1,1,1>",screenplay
1932389,86097,"(screenplay)  <1,1,1>",screenplay
1932389,86097,"(short film)  <2,1,1>",short film
1932393,154450,"(screenplay)  <2,1,1>",screenplay
1932393,305849,"(screenplay)  <2,1,2>",screenplay
1932393,355404,"(story)  <1,1,1>",story
1932451,268915,"(written by)  <1,1,1>",written by
1932817,134703,"(screenplay)  <1,1,1>",screenplay
1932817,144365,"(screenplay)  <1,2,1>",screenplay
1932817,352493,"(novel)  <2,1,1>",novel
1932819,134703,"(screenplay ""Father's Little Dividend"")  <1,1,2>",screenplay
1932819,144365,"(screenplay ""Father's Little Dividend"")  <1,1,1>",screenplay
1932819,243941,"(screenplay)  <2,1,1>",screenplay
1932819,336466,"(screenplay)  <2,1,2>",screenplay
1932958,124055,"(screenplay)  <2,1,1>",screenplay
1932958,226600,"(screenplay)  <2,1,2>",screenplay
1932958,377757,"(film Les Compères)  <1,1,1>",film Les Comperes
1933191,132376,(play),play
1933191,136305,(novel),novel
1933191,229733,"(play ""The Tragical History of Doctor Faustus"")",play
1933191,355402,,
1933254,97064,"(writer)  <2,1,2>",writer
1933254,253046,"(dialogue)  <3,1,1>",dialogue
1933254,253046,"(novel)  <1,1,1>",novel
1933254,253046,"(writer)  <2,1,1>",writer
1933459,76498,"(written by)  <1,1,1>",written by
1933552,74695,"(screenplay)  <2,2,2>",screenplay
1933552,82333,"(screenplay)  <2,2,1>",screenplay
1933552,130210,"(screenplay)  <2,1,1>",screenplay
1933552,140052,"(screenplay)  <2,1,2>",screenplay
1933552,363820,"(book)  <1,1,1>",book
1933599,77594,"(written by)  <1,1,1>",written by
1933633,401330,"(novel)  <1,1,1>",novel
1933633,401330,"(screenplay)  <2,1,1>",screenplay
1933702,24221,"(novel)  <1,1,1>",novel
1933702,261508,"(screenplay)  <2,1,1>",screenplay
1933830,73193,"(written by)  <1,1,1>",written by
1934075,18347,"(written by)  <1,1,1>",written by
1934260,60678,,
1934260,359117,,
1934406,101447,"(screenplay)  <2,1,1>",screenplay
1934406,368960,"(novel)  <1,1,1>",novel
1934787,166559,"(screenplay)  <2,1,1>",screenplay
1934787,181622,"(book ""Female Perversions: The Tempations of Emma Bovary"")  <1,1,1>",book
1934787,352537,"(screenplay)  <2,1,2>",screenplay
1935106,62577,(story),story
1935106,336198,,
1935106,385864,(story),story
1935417,164419,"(written by)  <1,1,1>",written by
1935619,315749,"(screenplay)  <1,1,2>",screenplay
1935619,380992,"(idea)  <2,1,1>",idea
1935619,380992,"(screenplay)  <1,1,1>",screenplay
1936069,161899,"(book)  <1,1,1>",book
1936069,161899,"(screenplay)  <2,1,1>",screenplay
1936394,189995,"(book ""Shoeless Joe"")  <1,1,1>",book
1936394,308581,"(screenplay)  <2,1,1>",screenplay
1936478,67305,"<1,1,1>",
1936478,133111,"(uncredited)  <2,1,1>",uncredited
1936478,176245,"<1,1,2>",
1936800,275934,"(novel)  <1,1,1>",novel
1936800,372592,"(screenplay)  <2,1,1>",screenplay
1938005,14988,"(written by)  <1,1,1>",written by
1938142,252835,"(screenplay)  <1,1,1>",screenplay
1938142,301080,"(screenplay)  <1,2,1>",screenplay
1938142,301080,"(story)  <2,1,1>",story
1938142,397394,"(screenplay)  <1,1,2>",screenplay
1938743,292001,(writer),writer
1939369,254184,"(screenplay)  <2,2,1>",screenplay
1939369,353076,"(screenplay)  <2,1,1>",screenplay
1939369,353076,"(story)  <1,1,1>",story
1939525,122433,,
1939666,264041,"(written by)  <1,1,1>",written by
1939754,189747,(novel),novel
1939754,227232,,
1939762,345137,"(written by)  <1,1,1>",written by
1939775,4462,"(story)  <1,1,3>",story
1939775,135595,"(screenplay)  <2,1,1>",screenplay
1939775,135595,"(story)  <1,1,1>",story
1939775,312415,"(story)  <1,1,2>",story
1939900,195997,"(screenplay)  <2,1,1>",screenplay
1939900,253447,"(novel)  <1,1,1>",novel
1939900,318019,"(screenplay)  <2,1,2>",screenplay
1939900,347673,"(screenplay)  <2,2,1>",screenplay
1940096,185036,"(written by)  <1,1,1>",written by
1940121,52794,"(story)  <1,1,1>",story
1940121,162305,"(story)  <1,1,2>",story
1940121,264041,"(screenplay)  <2,1,1>",screenplay
1940121,264041,"(story)  <1,2,1>",story
1940174,237741,"(short story)  <1,1,1>",short story
1940174,283209,"(adaptation)  <2,1,2>",adaptation
1940174,316778,"(adaptation)  <2,1,1>",adaptation
1940174,316778,"(screenplay)  <3,1,1>",screenplay
1941011,156294,,
1941100,100024,(screenplay) (as Adrien Joyce),screenplay
1941100,100024,(story) (as Adrien Joyce),story
1941100,297176,(story),story
1941271,34607,(writer),writer
1941902,106267,"(screenplay)  <1,2,1>",screenplay
1941902,152891,"(screenplay) (as Tom Hedley)  <1,1,1>",screenplay
1941902,152891,"(story) (as Tom Hedley)  <2,1,1>",story
1942017,112630,"(written by)  <1,1,1>",written by
1942058,327894,"(written by)  <1,1,1>",written by
1942083,392114,"(written by)  <1,1,1>",written by
1942223,191878,"(written by)  <1,1,1>",written by
1942296,29757,"(screenplay)  <2,1,1>",screenplay
1942296,237446,"(novel)  <1,1,1>",novel
1942299,54285,"(written by)  <2,1,1>",written by
1942299,237446,"(character)  <1,1,1>",character
1942625,19014,(story),story
1942625,49499,(screenplay),screenplay
1942625,223270,(screenplay),screenplay
1942758,46062,"(story)  <1,1,1>",story
1942758,74602,"(story)  <1,2,1>",story
1942758,333067,"(screenplay)  <3,1,1>",screenplay
1942758,389346,"(earlier screenplay)  <2,1,1>",earlier screenplay
1942787,150154,,
1942828,316203,"(written by)  <1,1,1>",written by
1942898,313625,(written by),written by
1943470,164419,"(screenplay)  <2,1,1>",screenplay
1943470,360815,"(short story ""A Situation of Gravity"")  <1,1,1>",short story
1943470,385348,"(screenplay)  <2,2,1>",screenplay
1943586,55187,"(screenplay)  <2,1,1>",screenplay
1943586,56364,"(screenplay)  <2,1,2>",screenplay
1943586,155040,"(novel ""Fluke"")  <1,1,1>",novel
1943718,215037,"(autobiography)  <1,1,1>",autobiography
1943718,238981,"(screenplay)  <2,2,1>",screenplay
1943718,309195,"(screenplay)  <2,1,1>",screenplay
1943961,123722,"(original story)  <2,1,1>",original story
1943961,123722,"(screenplay)  <1,1,1>",screenplay
1943961,369340,"(screenplay)  <1,1,2>",screenplay
1944457,351579,,
1944510,265894,(written by),written by
1944862,274881,(writer),writer
1944905,300858,"(screenplay)  <2,1,1>",screenplay
1944905,300858,"(story)  <1,2,1>",story
1944905,360589,"(story)  <1,1,1>",story
1945150,288270,(written by),written by
1945371,132090,(uncredited),uncredited
1945579,332346,"(novel)  <1,1,1>",novel
1945579,350276,"(screenplay)  <2,1,1>",screenplay
1945589,194117,"(written by)  <1,1,2>",written by
1945589,312718,"(written by)  <1,1,1>",written by
1945700,163264,"(written by)  <1,1,1>",written by
1945700,219811,"(written by)  <1,1,2>",written by
1945816,44399,(contract writer) (uncredited),contract writer
1945816,154036,"(novel ""For Whom the Bell Tolls"")  <1,1,1>",novel
1945816,223358,(contract writer) (uncredited),contract writer
1945816,263917,"(screenplay)  <2,1,1>",screenplay
1945855,114653,"(stories ""For Your Eyes Only"" and ""Risico"") (uncredited)  <2,1,1>",and
1945855,224780,"(screenplay)  <1,1,1>",screenplay
1945855,395204,"(screenplay)  <1,2,1>",screenplay
1946023,52941,"(original story)  <2,1,1>",original story
1946023,52941,"(screenplay)  <1,1,1>",screenplay
1946023,377568,"(original story)  <2,2,1>",original story
1946107,176092,(written by),written by
1946327,2317,"(based on a story by)  <2,2,1>",based on a story by
1946327,35449,"(based on a story by)  <2,1,1>",based on a story by
1946327,164832,"(screen play)  <1,1,1>",screen play
1946327,332709,"(play ""The Tempest"") (uncredited)  <3,1,1>",play
1946379,61387,"(screenplay)  <2,1,1>",screenplay
1946379,116353,"(screen story)  <3,1,1>",screen story
1946379,223144,"(novel)  <1,1,1>",novel
1946397,289971,"(screenplay)  <1,1,1>",screenplay
1946397,396984,"(novel ""Tucker's People"")  <2,1,1>",novel
1946397,396984,"(screenplay)  <1,2,1>",screenplay
1946463,205858,"(written by)  <1,1,1>",written by
1946562,27984,"(dialogue)  <2,1,2>",dialogue
1946562,28566,"(screenplay)  <1,1,1>",screenplay
1946562,149739,"(screenplay)  <1,1,2>",screenplay
1946562,152742,(uncredited),uncredited
1946562,157884,"(dialogue)  <2,1,1>",dialogue
1946595,200685,"(novel ""The Foreign Student"")  <1,1,1>",novel
1946595,243961,"(written by)  <2,1,1>",written by
1946833,1013,"(written by) (as Jeffrey Abrams)  <1,1,1>",written by
1946963,76895,"(written by)  <1,1,1>",written by
1946963,124055,"(written by)  <1,1,2>",written by
1946963,226600,"(written by)  <1,1,3>",written by
1947355,140282,"(novel)  <1,1,1>",novel
1947355,313556,"(screenplay)  <2,1,1>",screenplay
1948277,8964,"(written by) (segment ""The Missing Ingredient"")  <1,1,1>",written by
1948277,309144,"(written by) (segment ""The Wrong Man"")  <2,1,1>",written by
1948277,309740,"(written by) (segment ""The Misbehavers"")  <3,1,1>",written by
1948277,359552,"(written by) (segment ""The Man From Hollywood"")  <4,1,1>",written by
1948340,78136,"(written by)  <1,1,1>",written by
1948561,269440,"(novel)  <1,1,1>",novel
1948561,391603,"(screenplay)  <2,1,1>",screenplay
1949144,29852,,
1949144,85766,,
1949144,184223,,
1949444,363524,"(written by)  <1,1,1>",written by
1949502,19471,"(based upon the composition by)  <1,1,1>",based upon the composition by
1949502,108391,"(screenplay)  <4,1,2>",screenplay
1949502,115137,(contributor to treatment) (uncredited),contributor to treatment
1949502,116761,"(screenplay)  <4,1,1>",screenplay
1949502,316244,(contributor to screenplay construction) (uncredited),contributor to screenplay construction
1949502,325120,"(scenario editor)  <5,1,1>",scenario editor
1949502,334245,"(from the novel by) (as Mrs. Percy B. Shelley)  <2,1,1>",from the novel by
1949502,388342,"(adapted from the play by)  <3,1,1>",adapted from the play by
1949508,81111,"(screenplay)  <2,2,1>",screenplay
1949508,201053,"(screenplay)  <2,1,1>",screenplay
1949508,334245,"(novel)  <1,1,1>",novel
1949526,339433,"(original screenplay)  <1,1,1>",original screenplay
1949624,268875,,
1949624,300456,"(novel ""The Dork of Cork"")",novel
1949624,300456,(screenplay),screenplay
1950286,309320,"(book)  <2,1,1>",book
1950286,309320,"(screenplay)  <1,1,1>",screenplay
1950466,75331,"(characters)  <1,1,1>",characters
1950466,84840,"(screenplay)  <3,1,1>",screenplay
1950466,358380,"(story)  <2,1,1>",story
1950577,7455,"(writer)  <1,1,1>",writer
1950577,243663,"(writer)  <1,1,2>",writer
1950688,35173,"(screenplay)  <2,2,1>",screenplay
1950688,384723,"(screenplay) (as Keith A. Walker)  <2,1,1>",screenplay
1950688,384723,"(story) (as Keith A. Walker)  <1,1,1>",story
1950689,35173,"(written by)  <2,2,1>",written by
1950689,172471,"(written by)  <2,1,1>",written by
1950689,234519,"(written by)  <2,3,1>",written by
1950689,384723,"(characters) (as Keith A. Walker)  <1,1,1>",characters
1950690,234519,"(written by)  <2,1,1>",written by
1950690,384723,"(characters) (as Keith A. Walker)  <1,1,1>",characters
1950946,130430,"(screenplay)  <3,2,1>",screenplay
1950946,292736,"(screen story)  <2,1,1>",screen story
1950946,292736,"(screenplay)  <3,1,1>",screenplay
1950946,333950,"(novel ""Immortality Inc."")  <1,1,1>",novel
1950946,336391,"(screen story)  <2,1,2>",screen story
1950946,336391,"(screenplay)  <3,1,2>",screenplay
1951003,43574,"(written by)  <1,1,1>",written by
1951279,44600,"(written by)  <1,1,1>",written by
1951390,200340,"(novel ""Goodbye Piccadilly, Farewell Leicester Square"")  <1,1,1>",novel
1951390,332445,"(screenplay)  <2,1,1>",screenplay
1951397,103799,"(written by)  <1,1,1>",written by
1951417,142997,(collaboration) (as T.G. Alea),collaboration
1951417,281146,(screenplay),screenplay
1951417,281146,"(story ""The Wolf, The Forest and the New Man"")",story
1951428,399880,"(written by)  <1,1,1>",written by
1951931,77044,"(written by)  <1,1,1>",written by
1951931,290403,"(written by)  <1,1,2>",written by
1951984,77762,(story),story
1951984,199298,(uncredited),uncredited
1951984,246359,"(screenplay)  <1,1,1>",screenplay
1951984,246359,(story),story
1951988,199298,"(written by)  <1,1,1>",written by
1951988,246359,"(characters)  <2,1,1>",characters
1951989,190765,"(screenplay)  <1,1,1>",screenplay
1951989,199298,"(character creator)  <2,2,1>",character creator
1951989,246359,"(character creator)  <2,1,1>",character creator
1951989,290601,(uncredited),uncredited
1951989,387479,"(screenplay)  <1,1,2>",screenplay
1951990,112211,"(written by)  <1,2,1>",written by
1951990,147407,"(written by)  <1,1,1>",written by
1951990,246359,(characters) (uncredited),characters
1951991,152849,"(written by)  <1,1,1>",written by
1951991,246359,"(characters)  <2,1,1>",characters
1951993,68618,"(screenplay)  <2,1,2>",screenplay
1951993,68618,"(story)  <1,1,2>",story
1951993,190765,"(screenplay)  <2,1,1>",screenplay
1951993,190765,"(story)  <1,1,1>",story
1951993,246359,(characters) (uncredited),characters
1951993,349478,"(screenplay)  <2,2,1>",screenplay
1952001,68567,"(screenplay)  <2,1,1>",screenplay
1952001,190765,"(character creator)  <1,1,3>",character creator
1952001,199298,"(character creator)  <1,1,2>",character creator
1952001,246359,"(character creator)  <1,1,1>",character creator
1952001,319094,"(story)  <3,1,1>",story
1952001,387479,"(character creator)  <1,1,4>",character creator
1952054,114302,"(novel ""Fried Green Tomatoes At the Whistle Stop Cafe"")  <1,1,1>",novel
1952054,114302,"(screenplay)  <2,1,1>",screenplay
1952054,343427,"(screenplay)  <2,2,1>",screenplay
1952201,23091,"(story)  <1,1,1>",story
1952201,144138,"(story)  <1,1,2>",story
1952201,144138,"(written by)  <2,1,1>",written by
1952386,160260,"(written by)  <1,1,1>",written by
1952391,160260,"(characters)  <1,1,1>",characters
1952391,243429,"(written by)  <2,1,1>",written by
1952391,361240,"(written by)  <2,2,1>",written by
1952391,385104,"(written by)  <2,3,1>",written by
1952490,72048,(novel),novel
1952490,99181,,
1952490,205601,,
1952490,379145,,
1952676,289300,"(written by)  <1,1,1>",written by
1952847,199266,"(story)  <1,1,1>",story
1952847,359552,"(screenplay)  <2,1,1>",screenplay
1952923,176818,"(novel)  <2,1,1>",novel
1952923,359515,"(screenplay)  <1,1,1>",screenplay
1953106,114653,"(novel) (uncredited)  <4,1,1>",novel
1953106,150565,"(adaptation)  <2,1,1>",adaptation
1953106,224780,"(screenplay)  <1,1,1>",screenplay
1953106,233592,"(screenplay) (uncredited)  <3,1,1>",screenplay
1953354,66461,,
1953354,185205,(screenplay),screenplay
1953354,185205,(story),story
1953362,299433,,
1955153,150703,"(novel ""The Short Timers"")  <1,1,1>",novel
1955153,150703,"(screenplay)  <2,1,3>",screenplay
1955153,155830,"(screenplay)  <2,1,2>",screenplay
1955153,198001,"(screenplay)  <2,1,1>",screenplay
1955207,48345,"(scenario)  <2,1,1>",scenario
1955207,48345,"(story)  <1,1,1>",story
1955340,43592,"(story)  <1,1,1>",story
1955340,86460,"(story)  <1,1,5>",story
1955340,212316,"(from an original story by)  <2,1,1>",from an original story by
1955340,265988,"(story)  <1,1,4>",story
1955340,272569,"(story)  <1,1,6>",story
1955340,301650,"(story)  <1,1,2>",story
1955340,329602,"(story)  <1,1,3>",story
1955728,62448,,
1955728,114451,,
1955747,128346,"(written by)  <1,1,1>",written by
1955750,36045,"(screenplay)  <2,1,1>",screenplay
1955750,76182,"(book)  <1,1,1>",book
1957176,27612,"(written by)  <1,1,1>",written by
1957176,125780,"(written by)  <1,1,2>",written by
